MSSV,HoTenSV,NgaySinh,MaLop,GioHoc,MSGV
2001,Vincent,10/01/1995,LAND2311,18h30-21h30, GV1
2002,Stephen,10/02/1995,LAND2311,18h30-21h30, GV2
2003,Wilfred,10/03/1995,LAND2311,18h30-21h30, GV2
2004,Alexander,10/04/1995,LAND2311,18h30-21h30, GV3
2005,Geoffrey,10/05/1995,LAND2311,18h30-21h30, GV4
2006,Harding,10/06/1995,LAND2311,18h30-21h30, GV2
2007,Jocelyn,10/07/1995,LAND2311,18h30-21h30, GV1
2008,Joyce,10/08/1995,LAND2311,18h30-21h30, GV3
2009,Kelsey,10/09/1995,LAND2311,18h30-21h30, GV4
2010,Darius,10/10/1995,LAND2311,18h30-21h30, GV3
2011,Edsel,10/11/1995,LAND2311,18h30-21h30, GV4
2012,Elmer,10/12/1995,LAND2311,18h30-21h30, GV4
2013,Clement,10/01/1993,LAND2311,18h30-21h30, GV4
2014,Kieran,10/09/1994,LAND2311,18h30-21h30, GV2
2015,Lloyd,10/09/1995,LAND2311,18h30-21h30, GV2
2016,Jesse,10/09/1996,LAND2311,18h30-21h30, GV2
2017,Christopher,10/09/1997,LAND2311,18h30-21h30, GV1
2018,Jonathan,10/09/1999,LAND2311,18h30-21h30, GV2
2019,Osmund,10/09/2000,LAND2311,18h30-21h30, GV2
2020,Baron,10/09/2001,LAND2311,18h30-21h30, GV3
2021,Bertram,10/09/1995,LAND2311,18h30-21h30, GV3
2022,Damian,10/09/1996,LAND2311,18h30-21h30, GV2
2023,Dante,10/09/1997,LAND2311,18h30-21h30, GV1
2024,Dempsey,10/09/1998,LAND2311,18h30-21h30, GV4
2025,Diego,10/09/1999,LAND2311,18h30-21h30, GV2
2026,Jason,10/09/1991,LAND2311,18h30-21h30, GV3
2027,Jasper,10/09/1992,LAND2311,18h30-21h30, GV1
2028,Jerome,10/09/1993,LAND2311,18h30-21h30, GV2
2029,Lancelot,10/09/1994,LAND2311,18h30-21h30, GV3
2030,Manfred,10/09/1995,LAND2311,18h30-21h30, GV2
2031,Merlin,10/09/1995,LAND2311,18h30-21h30, GV1
2032,Neil,10/09/1995,LAND2311,18h30-21h30, GV2
2033,Orson,10/09/1995,LAND2311,18h30-21h30, GV2
2034,Samson,10/09/1995,LAND2311,18h30-21h30, GV3
2035,Seward,10/09/1995,LAND2311,18h30-21h30, GV3
2036,Siegfried,10/09/1995,LAND2311,18h30-21h30, GV1
